Region,years,products,Productivity (kg/ ha),Production (t),Area (ha) 
PT,1988,Milho regadio,3353.0,613461.0,182956.0
PT,1988,Milho sequeiro,1474.0,33327.0,22612.0
PT,1988,Nespera,2899.0,1316.0,454.0
PT,1988,Noz,2500.0,4250.0,1700.0
PT,1988,Olival,383.0,130176.0,340261.0
PT,1988,Principais culturas para indústria,6150.0,526759.0,85649.0
PT,1988,Principais frutos de casca rija,745.0,44910.0,60245.0
PT,1988,Principais frutos frescos,5987.0,452030.0,75499.0
PT,1988,Principais leguminosas secas,574.0,37574.0,65418.0
PT,1988,Pêra,5934.0,85770.0,14454.0
PT,1988,Pêssego,4493.0,73060.0,16261.0
PT,1988,Romã,4500.0,1800.0,400.0
PT,1988,Tabaco,1960.0,3852.0,1965.0
PT,1988,Tangera,5000.0,4650.0,930.0
PT,1988,Tangerina,5997.0,21938.0,3658.0
PT,1988,Tomate para indústria,32079.0,456264.0,14223.0
PT,1988,Toranja,4445.0,800.0,180.0
PT,1988,Trigo,1380.0,394757.0,286042.0
PT,1988,Trigo duro,789.0,15771.0,19999.0
PT,1988,Trigo mole,1425.0,378986.0,266043.0
PT,1988,Triticale,1237.0,40000.0,32336.0
PT,1988,Uva de mesa,3179.0,25092.0,7892.0
PT,1988,Uva para vinho,1965.0,493073.0,250979.0
PT,1988,Vinha,2002.0,518165.0,258871.0
PT,1989,Ameixa,5769.0,15812.0,2741.0
PT,1989,Amêndoa,1237.0,51945.0,41980.0
PT,1989,Arroz,4290.0,144269.0,33630.0
PT,1989,Aveia,1038.0,126950.0,122336.0
PT,1989,Avelã,1333.0,2080.0,1560.0
PT,1989,Azeitona de mesa,1787.0,21000.0,11754.0
PT,1989,Azeitona para azeite,942.0,309795.0,328761.0
PT,1989,Batata,11268.0,1358405.0,120553.0
PT,1989,Batata de regadio,11682.0,971363.0,83149.0
PT,1989,Batata de sequeiro,10049.0,341290.0,33962.0
PT,1989,Beterraba,51289.0,12053.0,235.0
PT,1989,Castanha,1386.0,21039.0,15176.0
PT,1989,Centeio,1098.0,118975.0,108344.0
PT,1989,Cereais para grão,2018.0,1831518.0,907535.0
PT,1989,Cereja,3483.0,10506.0,3016.0
PT,1989,Cevada,1224.0,84437.0,69001.0
PT,1989,Citrinos,7811.0,200669.0,25690.0
PT,1989,Damasco,6428.0,4500.0,700.0
PT,1989,Diospiro,3095.0,4550.0,1470.0
PT,1989,Feijão,566.0,34640.0,61158.0
PT,1989,Figo,1447.0,15000.0,10363.0
PT,1989,Ginja,1250.0,600.0,480.0
PT,1989,Girassol,830.0,45930.0,55309.0
PT,1989,Grão-de-bico,577.0,3640.0,6311.0
PT,1989,Kiwi,3773.0,2679.0,710.0
PT,1989,Laranja,8500.0,159741.0,18793.0
PT,1989,Limão,5000.0,9900.0,1980.0
PT,1989,Lúpulo,2102.0,248.0,118.0
PT,1989,Marmelo,10092.0,5500.0,545.0
PT,1989,Maçã,11000.0,265782.0,24162.0
PT,1989,Milho,3154.0,678749.0,215222.0
PT,1989,Milho regadio,3354.0,631537.0,188304.0
PT,1989,Milho sequeiro,1498.0,34867.0,23274.0
PT,1989,Nespera,3134.0,1423.0,454.0
PT,1989,Noz,2800.0,5180.0,1850.0
PT,1989,Olival,971.0,330795.0,340515.0
PT,1989,Principais culturas para indústria,9424.0,682951.0,72472.0
PT,1989,Principais frutos de casca rija,1325.0,80244.0,60566.0
PT,1989,Principais frutos frescos,6697.0,507044.0,75710.0
PT,1989,Principais frutos subtropicais,3773.0,2679.0,710.0
PT,1989,Principais leguminosas secas,567.0,38280.0,67469.0
PT,1989,Pêra,6290.0,91438.0,14537.0
PT,1989,Pêssego,5351.0,90123.0,16842.0
PT,1989,Romã,4525.0,1810.0,400.0
PT,1989,Tabaco,2330.0,4849.0,2081.0
PT,1989,Tangera,5000.0,4650.0,930.0
PT,1989,Tangerina,6693.0,25482.0,3807.0
PT,1989,Tomate para indústria,42085.0,619871.0,14729.0
PT,1989,Toranja,4979.0,896.0,180.0
PT,1989,Trigo,1915.0,616238.0,321842.0
PT,1989,Trigo duro,1197.0,30774.0,25717.0
PT,1989,Trigo mole,1977.0,585464.0,296125.0
PT,1989,Triticale,1666.0,61900.0,37160.0
PT,1989,Uva de mesa,5517.0,48061.0,8711.0
PT,1989,Uva para vinho,3963.0,1011448.0,255232.0
PT,1989,Vinha,4014.0,1059509.0,263943.0
PT,1990,Ameixa,6436.0,17964.0,2791.0
PT,1990,Amêndoa,1098.0,46458.0,42300.0
PT,1990,Arroz,4614.0,156072.0,33824.0
PT,1990,Aveia,823.0,72104.0,87657.0
PT,1990,Avelã,1098.0,1900.0,1730.0
PT,1990,Azeitona de mesa,1694.0,20210.0,11930.0
PT,1990,Azeitona para azeite,546.0,177476.0,325259.0
PT,1990,Batata,11160.0,1343005.0,120342.0
PT,1990,Batata de regadio,11754.0,961926.0,81838.0
PT,1990,Batata de sequeiro,9636.0,337974.0,35073.0
PT,1990,Beterraba,47894.0,12692.0,265.0
PT,1990,Castanha,1344.0,20405.0,15185.0
PT,1990,Centeio,1015.0,96502.0,95069.0
PT,1990,Cereais para grão,1883.0,1425942.0,757348.0
PT,1990,Cereja,3750.0,11310.0,3016.0
PT,1990,Cevada,1177.0,78532.0,66716.0
PT,1990,Citrinos,8269.0,215822.0,26100.0
PT,1990,Damasco,7750.0,4650.0,600.0
PT,1990,Diospiro,3003.0,4700.0,1565.0
PT,1990,Feijão,524.0,31007.0,59214.0
PT,1990,Figo,1448.0,14800.0,10220.0
PT,1990,Ginja,1223.0,576.0,471.0
PT,1990,Girassol,578.0,60741.0,105000.0
PT,1990,Grão-de-bico,557.0,3563.0,6402.0
PT,1990,Kiwi,2942.0,2515.0,855.0
PT,1990,Laranja,9308.0,176597.0,18973.0
PT,1990,Limão,5000.0,10200.0,2040.0
PT,1990,Lúpulo,1629.0,171.0,105.0
PT,1990,Marmelo,9800.0,4900.0,500.0
PT,1990,Maçã,11500.0,282521.0,24567.0
PT,1990,Milho,3055.0,665560.0,217856.0
PT,1990,Milho regadio,3269.0,618179.0,189130.0
PT,1990,Milho sequeiro,1530.0,39458.0,25790.0
PT,1990,Nespera,3489.0,1619.0,464.0
PT,1990,Noz,3000.0,5850.0,1950.0
PT,1990,Olival,586.0,197686.0,337189.0
PT,1990,Principais culturas para indústria,7260.0,904377.0,124575.0
PT,1990,Principais frutos de casca rija,1220.0,74613.0,61165.0
PT,1990,Principais frutos frescos,6901.0,524686.0,76027.0
PT,1990,Principais frutos subtropicais,2942.0,2515.0,855.0
PT,1990,Principais leguminosas secas,527.0,34570.0,65616.0
PT,1990,Pêra,6476.0,94730.0,14627.0
PT,1990,Pêssego,5065.0,85116.0,16806.0
PT,1990,Romã,4500.0,1800.0,400.0
PT,1990,Tabaco,2171.0,4911.0,2262.0
PT,1990,Tangera,5027.0,4700.0,935.0
PT,1990,Tangerina,5898.0,23425.0,3972.0
PT,1990,Tomate para indústria,48744.0,825862.0,16943.0
PT,1990,Toranja,5001.0,900.0,180.0
PT,1990,Trigo,1429.0,296623.0,207553.0
PT,1990,Trigo duro,1270.0,23701.0,18658.0
PT,1990,Trigo mole,1445.0,272922.0,188895.0
PT,1990,Triticale,1244.0,60549.0,48673.0
PT,1990,Uva de mesa,5740.0,54711.0,9531.0
PT,1990,Uva para vinho,5806.0,1479441.0,254828.0
PT,1990,Vinha,5803.0,1534152.0,264359.0
PT,1991,Ameixa,5357.0,15219.0,2841.0
PT,1991,Amêndoa,1244.0,52728.0,42390.0
PT,1991,Arroz,5094.0,170477.0,33466.0
PT,1991,Aveia,828.0,76100.0,91956.0
PT,1991,Avelã,1070.0,2000.0,1870.0
PT,1991,Azeitona de mesa,1871.0,22990.0,12290.0
PT,1991,Azeitona para azeite,1309.0,420643.0,321467.0
PT,1991,Batata,12651.0,1420870.0,112310.0
PT,1991,Batata de regadio,14665.0,1035971.0,70641.0
PT,1991,Batata de sequeiro,8783.0,334445.0,38081.0
PT,1991,Beterraba,47724.0,11931.0,250.0
PT,1991,Castanha,987.0,15713.0,15915.0
PT,1991,Centeio,929.0,80358.0,86533.0
PT,1991,Cereais para grão,2162.0,1789423.0,827647.0
PT,1991,Cereja,4397.0,13570.0,3086.0
PT,1991,Cevada,1908.0,124104.0,65045.0
PT,1991,Citrinos,8036.0,214045.0,26634.0
PT,1991,Damasco,6686.0,4480.0,670.0
PT,1991,Diospiro,3003.0,4700.0,1565.0
PT,1991,Feijão,481.0,28083.0,58375.0
PT,1991,Figo,1517.0,15500.0,10220.0
PT,1991,Ginja,1562.0,750.0,480.0
PT,1991,Girassol,567.0,34190.0,60250.0
PT,1991,Grão-de-bico,546.0,3485.0,6382.0
PT,1991,Kiwi,4900.0,5025.0,1025.0
PT,1991,Laranja,8853.0,171127.0,19331.0
PT,1991,Limão,5000.0,10250.0,2050.0
PT,1991,Lúpulo,1783.0,164.0,92.0
PT,1991,Marmelo,6596.0,3300.0,500.0
PT,1991,Maçã,10634.0,263350.0,24765.0
PT,1991,Milho,3041.0,656187.0,215773.0
PT,1991,Milho regadio,3403.0,599337.0,176106.0
PT,1991,Milho sequeiro,1317.0,48838.0,37090.0
PT,1991,Nespera,3325.0,1543.0,464.0
PT,1991,Noz,2900.0,5800.0,2000.0
PT,1991,Olival,1329.0,443633.0,333757.0
PT,1991,Principais culturas para indústria,9668.0,749699.0,77543.0
PT,1991,Principais frutos de casca rija,1226.0,76241.0,62175.0
PT,1991,Principais frutos frescos,6737.0,513916.0,76287.0
PT,1991,Principais frutos subtropicais,4900.0,5025.0,1025.0
PT,1991,Principais leguminosas secas,487.0,31568.0,64757.0
PT,1991,Pêra,6516.0,94573.0,14513.0
PT,1991,Pêssego,5668.0,95131.0,16783.0
PT,1991,Romã,4500.0,1800.0,400.0
PT,1991,Tabaco,2214.0,5457.0,2465.0
PT,1991,Tangera,5500.0,5500.0,1000.0
PT,1991,Tangerina,6499.0,26468.0,4072.0
PT,1991,Tomate para indústria,48181.0,697957.0,14486.0
PT,1991,Toranja,3863.0,700.0,181.0
PT,1991,Trigo,2098.0,618697.0,294874.0
PT,1991,Trigo duro,1798.0,37077.0,20616.0
PT,1991,Trigo mole,2121.0,581620.0,274258.0
PT,1991,Triticale,1588.0,63500.0,40000.0
PT,1991,Uva de mesa,5815.0,55484.0,9541.0
PT,1991,Uva para vinho,5008.0,1310105.0,261619.0
PT,1991,Vinha,5036.0,1365589.0,271160.0
PT,1992,Ameixa,5690.0,16733.0,2941.0
PT,1992,Amêndoa,1078.0,45940.0,42600.0
PT,1992,Arroz,5195.0,109704.0,21118.0
PT,1992,Aveia,601.0,45103.0,75047.0
PT,1992,Avelã,1200.0,1800.0,1500.0
PT,1992,Azeitona de mesa,1326.0,16500.0,12441.0
PT,1992,Azeitona para azeite,431.0,140625.0,326507.0
PT,1992,Batata,14326.0,1583091.0,110505.0
PT,1992,Batata de regadio,15770.0,1075087.0,68173.0
PT,1992,Batata de sequeiro,11379.0,439146.0,38593.0
PT,1992,Beterraba,52477.0,19259.0,367.0
PT,1992,Castanha,895.0,15955.0,17828.0
PT,1992,Centeio,926.0,69500.0,75043.0
PT,1992,Cereais para grão,1805.0,1387311.0,768420.0
PT,1992,Cereja,4199.0,15119.0,3601.0
PT,1992,Cevada,945.0,63000.0,66650.0
PT,1992,Citrinos,8147.0,221438.0,27179.0
PT,1992,Damasco,6714.0,4700.0,700.0
PT,1992,Diospiro,3000.0,4500.0,1500.0
PT,1992,Feijão,554.0,23187.0,41817.0
PT,1992,Figo,1418.0,13750.0,9700.0
