;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;
;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;
1120301: Amares;45001770 &;22039839 &;9271236 &;6973138 &;2047380 &;2588454 &;2081723 &;0 &;44861131 &;20423647 &;10547272 &;6866821 &;2090975 &;2766853 &;2165563 &;0 &;45116329;20413787;10578680;6786534;2544027;2713221;2080080;0;43464762;19289919;10232270;6243115;2672633;2889801;2137024;0;43441061;19931838;9969897;5781658;2834908;2799005;2123755;0;41993885;19265081;9389558;5235727;2544097;3332910;2226512;0;40458291;19080878;9182009;5188933;1879900;3268376;1858195;0;41445978;18495731;10139780;6131489;2110930;3112931;1455117;0;42310594;17905489;10628925;6388493;2651113;3571056;1165375;143;44372346;18808429;10434728;6579988;3575310;3260641;1712888;362;
1120302: Barcelos;418562731 &;145645959 &;83633361 &;163974449 &;5161030 &;14178425 &;5969507 &;0 &;437070940 &;137186275 &;88066265 &;185856958 &;4992701 &;14277336 &;6691405 &;0 &;440365294;139112789;87559765;186279013;5131415;15411021;6871291;0;434901574;132268468;73647072;201537796;5625426;15528075;6294737;0;436867208;137791698;75276675;196000668;4973536;15656614;7168017;0;423388147;134515796;72404055;188562017;4934851;16018586;6952842;0;415232711;134383679;70798680;183087345;4533371;15919080;6510556;0;416864503;127899424;93418712;163351274;6858311;15334466;10000002;2314;379641576;132747030;81649756;134605226;8568611;11833042;10236097;1814;398936740;143897927;74502797;141246280;9816458;15565249;13907766;263;
1120303: Braga;662732471 &;226732814 &;227325528 &;178479467 &;2018776 &;15659210 &;12516676 &;0 &;680214560 &;209569446 &;243732141 &;195426836 &;2120306 &;15413805 &;13952026 &;0 &;689997304;217546091;244784662;194567770;2063053;16417190;14618538;0;646620446;201798395;234997187;178487159;2018136;16202020;13117549;0;647650540;210124779;235607589;168678926;2350280;16063694;14825272;0;601989711;202840043;220663372;145340785;2025056;17115650;14004805;0;600999499;205440971;215177638;147934859;1859022;16885225;13701784;0;605418246;200620467;215767371;138586358;1870192;16137631;32346897;89330;618078614;208012830;214498593;144550631;2316684;18099991;30496642;103243;656539259;223131882;191580599;157195171;2698942;22210814;59537485;184366;
1120306: Esposende;109749431 &;50003711 &;22816310 &;28749139 &;2240855 &;4413171 &;1526245 &;0 &;109781494 &;46671689 &;25414125 &;29599633 &;1658942 &;4604422 &;1832683 &;0 &;105579659;45823261;25517232;25682894;1686116;4855247;2014909;0;107252822;43468928;24596819;31327225;1604348;4536296;1719206;0;106689273;45071592;24306024;30272448;1187328;3948185;1903696;0;103579054;43948667;23629534;29380341;681963;4180622;1757927;0;101686372;43990974;23784200;27219939;629342;4246545;1815372;0;101409498;42393871;24475811;26717149;989196;3848720;2984751;0;107970092;44617166;24071572;30074483;1301288;5048179;2857404;0;116942588;47557932;24304199;32392450;1751385;6285495;4651127;0;
1120310: Terras de Bouro;18885893 &;7805534 &;5015473 &;3540033 &;48817 &;1510110 &;965926 &;0 &;19136534 &;7218735 &;5626227 &;3772369 &;43736 &;1391502 &;1083965 &;0 &;18783197;7210121;5741571;3058207;41479;1566813;1165006;0;19608302;7135553;5543377;4143385;40468;1575114;1170405;0;19829926;7496563;5832330;3674138;40093;1653612;1133190;0;19023927;7125422;5503144;3483891;43238;1738026;1130206;0;18113606;6933315;5174153;3331970;45071;1699172;929925;0;18222808;6974209;5434143;2488085;859969;1524313;942089;0;18436007;6917765;5495039;3188952;515355;1655836;663060;0;20040354;7435584;5381176;3873848;175304;2133768;1040674;0;
1120313: Vila Verde;114293500 &;53268893 &;23338961 &;23758895 &;2630699 &;7474623 &;3821429 &;0 &;110751058 &;49939996 &;23526150 &;23619003 &;2090685 &;7603959 &;3971265 &;0 &;112233454;50012610;26906635;21555688;1976222;7771278;4011021;0;104241740;47286703;23047774;20877765;1158239;7562580;4308679;0;106588296;49220003;23118981;20903552;1138630;7831249;4375881;0;102773752;47126572;22401742;20429761;1081194;7643735;4090748;0;101564282;46986388;20927503;21086320;1222711;7557894;3783466;0;104544777;45700566;22280954;22024259;1866168;7287455;5385375;0;104949321;45357611;21887950;23266781;1300191;7997169;5139619;0;110460184;48682405;20174532;25974697;1332103;8672384;5624063;0;
119: Ave;1866309368 &;516994453 &;310092474 &;958174241 &;9702956 &;42459862 &;28883819 &;1563 &;1971358362 &;488365578 &;338760694 &;1048625049 &;10150338 &;49293713 &;36162990 &;0 &;2038078078;501350015;339226467;1095297712;12969968;50597461;38632214;4241;2013820715;478603276;352193137;1083390244;13544849;53713072;32376137;0;1992731466;500959639;349593380;1045782950;12042079;52244002;32105644;3772;1942292024;484928837;341220834;1024511067;11427981;49763703;30438786;816;1888008440;488715817;337904238;975111310;12159837;44733263;29379957;4018;1878722382;445971374;402562771;924646736;17801606;40148504;47584898;6493;1895626393;455402653;393829084;943299627;16371529;41813340;44900979;9181;1983587184;481696681;332361678;1020612531;16913243;58223788;73769632;9631;
1190304: Cabeceiras de Basto;32409741 &;17191504 &;7185227 &;4213403 &;215018 &;1337327 &;2267262 &;0 &;36978623 &;16181387 &;7534443 &;3994460 &;273787 &;6639023 &;2355523 &;0 &;33236612;16179942;7334027;4152600;444914;2702405;2422724;0;31291059;15422466;6640687;3053912;1360160;2484935;2328899;0;32429692;16080464;6988362;2718165;1433404;2901276;2308021;0;30860586;15386931;7146309;2293941;1227636;2556592;2249177;0;29383688;15061271;6164019;2136584;1191789;2658700;2171325;0;29239734;14470472;7322067;2552107;474361;2236653;2184015;59;28673540;14714329;6515236;3345093;419799;2263822;1415357;-96;31259133;15873782;6238539;3623333;500128;3269623;1753498;230;
1190307: Fafe;135595161 &;57205173 &;26443307 &;42821298 &;202751 &;6113308 &;2809324 &;0 &;135282217 &;52427204 &;28273930 &;45049006 &;149314 &;6092429 &;3290334 &;0 &;144332173;54885701;29235501;49397399;565117;6774124;3474331;0;136495748;51117553;28023856;47691494;311206;6267649;3083990;0;141210393;54246057;28720368;48305357;249151;6758299;2931161;0;135823430;52812260;28013955;45276964;280887;6543262;2896102;0;132361258;53529163;27162267;41949467;628649;6332253;2759459;0;130336111;51927443;33001343;35273651;555446;5568047;4010333;-152;131840445;52317439;31008455;39255340;672727;4960081;3624324;2079;143655634;55738920;30769148;44531075;875393;7224537;4514732;1829;
1190308: Guimarães;697788947 &;203458544 &;148911880 &;322594301 &;2624038 &;12745006 &;7455178 &;0 &;748330182 &;193583628 &;160693645 &;366625478 &;2986228 &;12594808 &;11846395 &;0 &;795511031;196542600;160504415;408133814;3044535;13891994;13393673;0;796109854;187228710;172274940;407698491;3092336;17472336;8343041;0;795361143;195858572;176992794;396790165;3174087;14876385;7669140;0;775280881;188725318;174898002;388717426;3045667;12614336;7280132;0;762781101;190321599;172544120;378108250;2751536;12019004;7036592;0;756124526;166814714;195397207;358047183;4299688;11999508;19565511;715;752564504;171624087;194402224;350608714;4311167;12649944;18967549;819;787102423;177975239;151151194;400971284;5187154;18462850;33353371;1331;
1191705: Mondim de Basto;15153409 &;7271345 &;3271074 &;2304591 &;77728 &;1230351 &;998320 &;0 &;14710826 &;7312072 &;3533031 &;1608905 &;62195 &;1123949 &;1070674 &;0 &;15060950;8117089;2838110;1539063;53867;1215763;1297058;0;14541464;7609401;2910069;1505223;96761;1243728;1176282;0;14699482;7676906;3123352;1520698;74371;1244613;1059542;0;14386067;7392827;3110014;1538240;87077;1244605;1013304;0;14248472;7541584;2997341;1373562;81060;1255477;999448;0;13949381;6330590;4257617;1367974;49511;1187285;756404;0;14339367;6529248;4259278;1356519;76095;1379219;739008;0;14603620;6945443;3931010;1526173;98507;1259767;842720;0;
1190309: Póvoa de Lanhoso;56972082 &;26360139 &;12043497 &;13060600 &;624915 &;3646907 &;1236024 &;0 &;55515700 &;24664449 &;12360622 &;12778193 &;578847 &;3673024 &;1460565 &;0 &;57058446;25219010;12753514;12975422;577826;3883009;1649665;0;54780377;25254395;12148026;11124861;653536;3961043;1638516;0;55436140;27059872;11875611;9834990;776015;4112380;1777272;0;51577665;24697200;11464167;9230868;683672;3955856;1545902;0;50124355;24735298;11208969;8148304;627534;3833543;1570707;0;50782686;23504370;13454363;7307546;978986;3858955;1678466;0;51876653;23651021;13283600;8180249;1071254;3989846;1700683;0;56270521;25496520;12311285;9950740;1286487;4485057;2740432;0;
1190311: Vieira do Minho;43438573 &;14427987 &;6483710 &;20323381 &;69699 &;1190215 &;943581 &;0 &;44819877 &;13325583 &;6769013 &;21283716 &;75270 &;2205375 &;1160920 &;0 &;41734754;13618888;6538042;17547010;64885;2449622;1516307;0;42156715;12711269;6187854;19259763;60155;2501033;1436641;0;39767468;13488438;6426969;15658253;68185;2599917;1525706;0;42237471;13389871;6085858;18588216;117456;2565922;1490148;0;39857487;13490687;6251347;16278854;93265;2489138;1254196;0;48067251;13373664;8424942;19570033;3022364;2472792;1203456;0;50154794;13743477;7401409;24025367;1259082;2710880;1014579;0;36197143;14568748;7113042;10297081;155850;2494239;1568183;0;
1190312: Vila Nova de Famalicão;803456483 &;164860766 &;91488363 &;515794522 &;5609992 &;14015322 &;11685955 &;1563 &;848500572 &;156110134 &;103192140 &;555556372 &;5668468 &;14741176 &;13232282 &;0 &;859222003;161039997;103481936;557802776;6435743;17308228;13149082;4241;848280347;154926717;107430572;549521862;6447150;17441896;12512150;0;822902438;161306219;98438726;526660289;5879818;17549797;13063817;3772;802969819;158028260;93668608;515304444;5609148;17995610;12362933;816;772512995;159857416;95605353;485274713;5807544;13913705;12050246;4018;766591324;146751162;119252650;464617180;7978334;10881938;17109771;289;782082125;149310916;116616736;480283519;8047627;11455576;16367462;289;826904702;160268757;102678195;510830775;8209448;17925736;26991485;306;
1190314: Vizela;81494972 &;26218995 &;14265416 &;37062145 &;278815 &;2181426 &;1488175 &;0 &;87220365 &;24761121 &;16403870 &;41728919 &;356229 &;2223929 &;1746297 &;0 &;91922109;25746788;16540922;43749628;1783081;2372316;1729374;0;90165151;24332765;16577133;43534638;1523545;2340452;1856618;0;90924710;25243111;17027198;44295033;387048;2201335;1770985;0;89156105;24496170;16833921;43560968;376438;2287520;1601088;0;86739084;24178799;15970822;41841576;978460;2231443;1537984;0;83631369;22798959;21452582;35911062;442916;1943326;1076942;5582;84094965;23512136;20342146;36244826;513778;2403972;1072017;6090;87594008;24829272;18169265;38882070;600276;3101979;2005211;5935;
